,oid,Id,sentence,cmp_code,eu_code,Flag,Context,labels
466,466,63320_201008_466,"A re-elected Gillard Labor Government will drive a major reform agenda for Australia's non-profit sector to deliver smarter regulation, reduce red tape and improve transparency and accountability of the sector.",606,,,There is nothing more important in managing the Australian economy than to ensure that every Australian has the opportunity to work. Historic Reforms to Australia's Not-For-Profit Sector.,1
467,467,63320_201008_467,Federal Labor is committed to supporting a strong and productive non-profit sector.,606,,,"Historic Reforms to Australia's Not-For-Profit Sector. A re-elected Gillard Labor Government will drive a major reform agenda for Australia's non-profit sector to deliver smarter regulation, reduce red tape and improve transparency and accountability of the sector.",1
468,468,63320_201008_468,"The Gillard Labor Government recognises that a strong, productive and innovative non-profit sector is essential to building an inclusive Australia.",606,,,"A re-elected Gillard Labor Government will drive a major reform agenda for Australia's non-profit sector to deliver smarter regulation, reduce red tape and improve transparency and accountability of the sector. Federal Labor is committed to supporting a strong and productive non-profit sector.",1
469,469,63320_201008_469,"The non-profit sector is a key partner in delivering major social policy reforms and in creating opportunities for Australians to participate in work, engage in life-long learning and live with dignity and respect.",606,,,"Federal Labor is committed to supporting a strong and productive non-profit sector. The Gillard Labor Government recognises that a strong, productive and innovative non-profit sector is essential to building an inclusive Australia.",1
470,470,63320_201008_470,"The non-profit sector also enriches communities through sport and recreation, arts and culture, and through protecting the environment and providing emergency services in times of crisis.",606,,,"The Gillard Labor Government recognises that a strong, productive and innovative non-profit sector is essential to building an inclusive Australia. The non-profit sector is a key partner in delivering major social policy reforms and in creating opportunities for Australians to participate in work, engage in life-long learning and live with dignity and respect.",1
471,471,63320_201008_471,"We want to enable non-profit organisations to be able to focus on what they do bestñ helping Australians in need and boosting hope, participation, dignity and respect in our community.",606,,,"The non-profit sector is a key partner in delivering major social policy reforms and in creating opportunities for Australians to participate in work, engage in life-long learning and live with dignity and respect. The non-profit sector also enriches communities through sport and recreation, arts and culture, and through protecting the environment and providing emergency services in times of crisis.",1
472,472,63320_201008_472," Non-profit organisations, employees and volunteers will all benefit from this reform plan, as well as the Australian communities they serveñ many of them the most vulnerable in our society.",606,,,"The non-profit sector also enriches communities through sport and recreation, arts and culture, and through protecting the environment and providing emergency services in times of crisis. We want to enable non-profit organisations to be able to focus on what they do bestñ helping Australians in need and boosting hope, participation, dignity and respect in our community.",1
473,473,63320_201008_473,Investing in a creative Australia.,,,1.0,"We want to enable non-profit organisations to be able to focus on what they do bestñ helping Australians in need and boosting hope, participation, dignity and respect in our community.  Non-profit organisations, employees and volunteers will all benefit from this reform plan, as well as the Australian communities they serveñ many of them the most vulnerable in our society.",1
474,474,63320_201008_474,"The Gillard Labor Government will provide $10 million for the Australia Council to invest in up to 150 new artistic works, presentations and fellowships.",502,,," Non-profit organisations, employees and volunteers will all benefit from this reform plan, as well as the Australian communities they serveñ many of them the most vulnerable in our society. Investing in a creative Australia.",7
475,475,63320_201008_475,"This new funding will ensure the Australia Council can focus on priority areas including: support for young and emerging artists, the creation of new Australian work (across all art forms) and assist artists in building more sustainable careers.",502,,,"Investing in a creative Australia. The Gillard Labor Government will provide $10 million for the Australia Council to invest in up to 150 new artistic works, presentations and fellowships.",1
476,476,63320_201008_476,"A Gillard Labor Government will also transfer a number of programs from the Department of Environment, Water, Heritage and the Arts to the Australia Council, to utilise the resources and expertise of the Australia Council to promote better outcomes for arts funding.",502,,,"The Gillard Labor Government will provide $10 million for the Australia Council to invest in up to 150 new artistic works, presentations and fellowships. This new funding will ensure the Australia Council can focus on priority areas including: support for young and emerging artists, the creation of new Australian work (across all art forms) and assist artists in building more sustainable careers.",3
477,477,63320_201008_477,"These programs include Playing Australia, Visions of Australia, Festivals Australia, the Contemporary Music Touring program, the Regional Arts Fund and the Visual Arts and Craft Strategy.",502,,,"This new funding will ensure the Australia Council can focus on priority areas including: support for young and emerging artists, the creation of new Australian work (across all art forms) and assist artists in building more sustainable careers. A Gillard Labor Government will also transfer a number of programs from the Department of Environment, Water, Heritage and the Arts to the Australia Council, to utilise the resources and expertise of the Australia Council to promote better outcomes for arts funding.",1
478,478,63320_201008_478,National plan to reduce violence against women and their children.,,,,"A Gillard Labor Government will also transfer a number of programs from the Department of Environment, Water, Heritage and the Arts to the Australia Council, to utilise the resources and expertise of the Australia Council to promote better outcomes for arts funding. These programs include Playing Australia, Visions of Australia, Festivals Australia, the Contemporary Music Touring program, the Regional Arts Fund and the Visual Arts and Craft Strategy.",1
479,479,63320_201008_479,"The Gillard Labor Government will work to prevent domestic violence and sexual assault, deliver greater justice for victims, and improve support services through the 12 year National Plan to Reduce Violence Against Women and their Children.",605,,,"These programs include Playing Australia, Visions of Australia, Festivals Australia, the Contemporary Music Touring program, the Regional Arts Fund and the Visual Arts and Craft Strategy. National plan to reduce violence against women and their children.",1
480,480,63320_201008_480,"The Gillard Labor Government takes a zero tolerance approach to all forms of violence, whether it be in the home or in public places.",605,,,"National plan to reduce violence against women and their children. The Gillard Labor Government will work to prevent domestic violence and sexual assault, deliver greater justice for victims, and improve support services through the 12 year National Plan to Reduce Violence Against Women and their Children.",1
481,481,63320_201008_481,"The Federal Government estimates that approximately $1.9 billion is spent every four years on addressing domestic violence and sexual assault through payments, programs and services.",605,,,"The Gillard Labor Government will work to prevent domestic violence and sexual assault, deliver greater justice for victims, and improve support services through the 12 year National Plan to Reduce Violence Against Women and their Children. The Gillard Labor Government takes a zero tolerance approach to all forms of violence, whether it be in the home or in public places.",7
482,482,63320_201008_482,State and Territory Governments also provide substantial funding in this area.,605,,,"The Gillard Labor Government takes a zero tolerance approach to all forms of violence, whether it be in the home or in public places. The Federal Government estimates that approximately $1.9 billion is spent every four years on addressing domestic violence and sexual assault through payments, programs and services.",1
483,483,63320_201008_483,"This includes an additional $730 million that has been invested by Federal Labor for programs that directly respond to domestic violence and sexual assault in areas such as housing and homelessness, Indigenous programs, legal aid, family support and prevention programs.",605,,,"The Federal Government estimates that approximately $1.9 billion is spent every four years on addressing domestic violence and sexual assault through payments, programs and services. State and Territory Governments also provide substantial funding in this area.",7
484,484,63320_201008_484,"National leadership, through a National Plan to Reduce Violence Against Women and their Children, will focus the efforts of all of these programs on shared goals to prevent violence, deliver justice for victims and improve support services.",605,,,"State and Territory Governments also provide substantial funding in this area. This includes an additional $730 million that has been invested by Federal Labor for programs that directly respond to domestic violence and sexual assault in areas such as housing and homelessness, Indigenous programs, legal aid, family support and prevention programs.",1
485,485,63320_201008_485,A Good International Citizen.,,,1.0,"This includes an additional $730 million that has been invested by Federal Labor for programs that directly respond to domestic violence and sexual assault in areas such as housing and homelessness, Indigenous programs, legal aid, family support and prevention programs. National leadership, through a National Plan to Reduce Violence Against Women and their Children, will focus the efforts of all of these programs on shared goals to prevent violence, deliver justice for victims and improve support services.",1
486,486,63320_201008_486,The Gillard Labor Government remains committed to increasing official development assistance to 0.5 per cent of Gross National Income by 2015-16.,107,,,"National leadership, through a National Plan to Reduce Violence Against Women and their Children, will focus the efforts of all of these programs on shared goals to prevent violence, deliver justice for victims and improve support services. A Good International Citizen.",5
487,487,63320_201008_487,This will result in a substantial increase in the aid budget going forward.,107,,,A Good International Citizen. The Gillard Labor Government remains committed to increasing official development assistance to 0.5 per cent of Gross National Income by 2015-16.,1
488,488,63320_201008_488,"In the 2010-11 Federal Budget, total Australian official development assistance (ODA) is forecast to increase to $4.3 billion, up from $3.8 billion in 2009-10.",107,,,The Gillard Labor Government remains committed to increasing official development assistance to 0.5 per cent of Gross National Income by 2015-16. This will result in a substantial increase in the aid budget going forward.,7
489,489,63320_201008_489,"Beyond 2015-16, as economic and fiscal conditions permit, Federal Labor will progressively increase Australia's official development assistance until we reach 0.7 per cent of Gross National Income.",107,,,"This will result in a substantial increase in the aid budget going forward. In the 2010-11 Federal Budget, total Australian official development assistance (ODA) is forecast to increase to $4.3 billion, up from $3.8 billion in 2009-10.",1
490,490,63320_201008_490,Australians are a generous people.,107,,,"In the 2010-11 Federal Budget, total Australian official development assistance (ODA) is forecast to increase to $4.3 billion, up from $3.8 billion in 2009-10. Beyond 2015-16, as economic and fiscal conditions permit, Federal Labor will progressively increase Australia's official development assistance until we reach 0.7 per cent of Gross National Income.",1
491,491,63320_201008_491,They help out those in need.,107,,,"Beyond 2015-16, as economic and fiscal conditions permit, Federal Labor will progressively increase Australia's official development assistance until we reach 0.7 per cent of Gross National Income. Australians are a generous people.",1
492,492,63320_201008_492,But they also have every right to expect that our aid dollars are used wisely and have a real impact on the lives of those less fortunate.,303,,,Australians are a generous people. They help out those in need.,1
493,493,63320_201008_493,"Significant progress has been made in reducing poverty since the international community committed to the Millennium Development Goals in 2000, but there is much more work to be done.",107,,,They help out those in need. But they also have every right to expect that our aid dollars are used wisely and have a real impact on the lives of those less fortunate.,1
494,494,63320_201008_494,"Federal Labor has placed the Millennium Development Goals at the centre of Australia's aid program, directing more funds to education, health and other basic services.",107,,,"But they also have every right to expect that our aid dollars are used wisely and have a real impact on the lives of those less fortunate. Significant progress has been made in reducing poverty since the international community committed to the Millennium Development Goals in 2000, but there is much more work to be done.",1
495,495,63320_201008_495,We have made education a flagship of the aid program to give children in poorer countries a chance to go to school and improve their opportunity for a better life.,107,,,"Significant progress has been made in reducing poverty since the international community committed to the Millennium Development Goals in 2000, but there is much more work to be done. Federal Labor has placed the Millennium Development Goals at the centre of Australia's aid program, directing more funds to education, health and other basic services.",1
496,496,63320_201008_496,We have also refocussed the program to improve the quality of Australia's aid and to make it more accountable.,107,,,"Federal Labor has placed the Millennium Development Goals at the centre of Australia's aid program, directing more funds to education, health and other basic services. We have made education a flagship of the aid program to give children in poorer countries a chance to go to school and improve their opportunity for a better life.",1
497,497,63320_201008_497,Our record on international development assistance stands in stark contrast to that of the Coalition.,107,,,We have made education a flagship of the aid program to give children in poorer countries a chance to go to school and improve their opportunity for a better life. We have also refocussed the program to improve the quality of Australia's aid and to make it more accountable.,1
498,498,63320_201008_498,"Throughout the former Coalition Government's term of office, the Coalition's contribution to foreign aid averaged only 0.27 per cent of Gross National Income, and hit a low of 0.25 per cent.",107,,,We have also refocussed the program to improve the quality of Australia's aid and to make it more accountable. Our record on international development assistance stands in stark contrast to that of the Coalition.,5
499,499,63320_201008_499,"Right now, the Coalition's policy on foreign aid is a $300 million cut to the foreign aid budget, an action which seriously calls into question the Coalition's commitment to assist the world's poorest people.",107,,,"Our record on international development assistance stands in stark contrast to that of the Coalition. Throughout the former Coalition Government's term of office, the Coalition's contribution to foreign aid averaged only 0.27 per cent of Gross National Income, and hit a low of 0.25 per cent.",1
500,500,63320_201008_500,Tony Abbott has not ruled out more savage cuts to foreign aid if he is elected as Prime Minister on 21 August.,107,,,"Throughout the former Coalition Government's term of office, the Coalition's contribution to foreign aid averaged only 0.27 per cent of Gross National Income, and hit a low of 0.25 per cent. Right now, the Coalition's policy on foreign aid is a $300 million cut to the foreign aid budget, an action which seriously calls into question the Coalition's commitment to assist the world's poorest people.",1
501,501,63320_201008_501,"At his campaign launch, Tony Abbott committed to the establishment of a ‚ÄúDebt Reduction Taskforce‚Äù with a commitment to identify further cuts to Australian Government expenditure, with no guarantees that foreign aid will be exempt from further cuts.",107,,,"Right now, the Coalition's policy on foreign aid is a $300 million cut to the foreign aid budget, an action which seriously calls into question the Coalition's commitment to assist the world's poorest people. Tony Abbott has not ruled out more savage cuts to foreign aid if he is elected as Prime Minister on 21 August.",1
502,502,63320_201008_502,"The Gillard Labor Government is committed to an aid program that is generous, effective and in Australia's national interest.",107,,,"Tony Abbott has not ruled out more savage cuts to foreign aid if he is elected as Prime Minister on 21 August. At his campaign launch, Tony Abbott committed to the establishment of a ‚ÄúDebt Reduction Taskforce‚Äù with a commitment to identify further cuts to Australian Government expenditure, with no guarantees that foreign aid will be exempt from further cuts.",2
503,503,63320_201008_503,"Through the development assistance program, we can make a difference and improve the lives of millions, and it is our intention to do more.",107,,,"At his campaign launch, Tony Abbott committed to the establishment of a ‚ÄúDebt Reduction Taskforce‚Äù with a commitment to identify further cuts to Australian Government expenditure, with no guarantees that foreign aid will be exempt from further cuts. The Gillard Labor Government is committed to an aid program that is generous, effective and in Australia's national interest.",1
504,504,63320_201008_504,Labor's Plan for Veterans' Affairs.,,,1.0,"The Gillard Labor Government is committed to an aid program that is generous, effective and in Australia's national interest. Through the development assistance program, we can make a difference and improve the lives of millions, and it is our intention to do more.",1
505,505,63320_201008_505,"There is no greater responsibility for government than the defence of Australia and Australia's interests, and with that comes the profound responsibility of caring for those who have offered the courage, commitment, and sometimes sacrifice that is required to deliver that protection.",706,,,"Through the development assistance program, we can make a difference and improve the lives of millions, and it is our intention to do more. Labor's Plan for Veterans' Affairs.",1
506,506,63320_201008_506,The Australian community is proud of our veterans and ex-service men and women.,706,,,"Labor's Plan for Veterans' Affairs. There is no greater responsibility for government than the defence of Australia and Australia's interests, and with that comes the profound responsibility of caring for those who have offered the courage, commitment, and sometimes sacrifice that is required to deliver that protection.",1
507,507,63320_201008_507,All those who choose a career in the armed services are heirs to a great tradition.,706,,,"There is no greater responsibility for government than the defence of Australia and Australia's interests, and with that comes the profound responsibility of caring for those who have offered the courage, commitment, and sometimes sacrifice that is required to deliver that protection. The Australian community is proud of our veterans and ex-service men and women.",1
508,508,63320_201008_508,Those who choose to serve give a commitment to protect the nation and its interests.,706,,,The Australian community is proud of our veterans and ex-service men and women. All those who choose a career in the armed services are heirs to a great tradition.,1
509,509,63320_201008_509,"We owe it to them to ensure that their service is recognised, the nation's gratitude is clear, and that they are looked after in their times of need.",706,,,All those who choose a career in the armed services are heirs to a great tradition. Those who choose to serve give a commitment to protect the nation and its interests.,1
510,510,63320_201008_510,A secure and fair Australia.,,,1.0,"Those who choose to serve give a commitment to protect the nation and its interests. We owe it to them to ensure that their service is recognised, the nation's gratitude is clear, and that they are looked after in their times of need.",1
511,511,63320_201008_511,Federal Labor has a strong record of creating a more secure Australia that ensures a fair go for all.,605,,,"We owe it to them to ensure that their service is recognised, the nation's gratitude is clear, and that they are looked after in their times of need. A secure and fair Australia.",1
512,512,63320_201008_512,"We are investing over $4.2 billion in 2010-2011 under the Attorney-General's Portfolio, towards national security, border and aviation security, counter terrorism, law enforcement and emergency management.",605,,,A secure and fair Australia. Federal Labor has a strong record of creating a more secure Australia that ensures a fair go for all.,7
513,513,63320_201008_513,Australia's key national security laws and agencies fall within the Attorney-General's portfolio.,0,,1.0,"Federal Labor has a strong record of creating a more secure Australia that ensures a fair go for all. We are investing over $4.2 billion in 2010-2011 under the Attorney-General's Portfolio, towards national security, border and aviation security, counter terrorism, law enforcement and emergency management.",1
514,514,63320_201008_514,The portfolio is also responsible for maintaining and improving Australia's federal system of justice and the administration of Australia's external territories.,605,,,"We are investing over $4.2 billion in 2010-2011 under the Attorney-General's Portfolio, towards national security, border and aviation security, counter terrorism, law enforcement and emergency management. Australia's key national security laws and agencies fall within the Attorney-General's portfolio.",1
515,515,63320_201008_515,"A re-elected Gillard Labor Government will continue this work, ensuring that the Attorney-General and Minister for Home Affairs focus on building capability for the future, anticipating and planning to meet future challenges.",605,,,Australia's key national security laws and agencies fall within the Attorney-General's portfolio. The portfolio is also responsible for maintaining and improving Australia's federal system of justice and the administration of Australia's external territories.,1
516,516,63320_201008_516,"We will also implement further practical improvements to ensure a fairer, safe and secure nation for all Australians.",605,,,"The portfolio is also responsible for maintaining and improving Australia's federal system of justice and the administration of Australia's external territories. A re-elected Gillard Labor Government will continue this work, ensuring that the Attorney-General and Minister for Home Affairs focus on building capability for the future, anticipating and planning to meet future challenges.",1
517,517,63320_201008_517,Carbon Farming Initiative.,,,1.0,"A re-elected Gillard Labor Government will continue this work, ensuring that the Attorney-General and Minister for Home Affairs focus on building capability for the future, anticipating and planning to meet future challenges. We will also implement further practical improvements to ensure a fairer, safe and secure nation for all Australians.",1
518,518,63320_201008_518,A Gillard Labor Government will open up new opportunities for Australian farmers and landholders to participate in lucrative international markets for carbon credits in a newCarbon Farming Initiative.,703,,,"We will also implement further practical improvements to ensure a fairer, safe and secure nation for all Australians. Carbon Farming Initiative.",1
519,519,63320_201008_519,"Under the new scheme, for the first time, a Federal Government will help facilitate the sale of carbon credits on domestic and international markets.",703,,,Carbon Farming Initiative. A Gillard Labor Government will open up new opportunities for Australian farmers and landholders to participate in lucrative international markets for carbon credits in a newCarbon Farming Initiative.,1
520,520,63320_201008_520,"Farmers and landholders will benefit from a new income stream, and the environment will benefit from reduced pollution.","703, 501",,,"A Gillard Labor Government will open up new opportunities for Australian farmers and landholders to participate in lucrative international markets for carbon credits in a newCarbon Farming Initiative. Under the new scheme, for the first time, a Federal Government will help facilitate the sale of carbon credits on domestic and international markets.",1
521,521,63320_201008_521,A Healthy Environment.,,,1.0,"Under the new scheme, for the first time, a Federal Government will help facilitate the sale of carbon credits on domestic and international markets. Farmers and landholders will benefit from a new income stream, and the environment will benefit from reduced pollution.",1
522,522,63320_201008_522,"If re-elected, the Gillard Labor Government will continue the reforms that put the protection of the environment in its rightful place.",501,,,"Farmers and landholders will benefit from a new income stream, and the environment will benefit from reduced pollution. A Healthy Environment.",1
523,523,63320_201008_523,"Federal Labor's key environment priorities are the protection and conservation of Australia's native plants, animals and ecosystems, and supporting Indigenous Australians, landholders and community groups to protect and manage the natural environment.",501,,,"A Healthy Environment. If re-elected, the Gillard Labor Government will continue the reforms that put the protection of the environment in its rightful place.",1
524,524,63320_201008_524,"A particular priority is the protection of our ocean ecosystems, as Australia has the third largest marine estate of any nation.",501,,,"If re-elected, the Gillard Labor Government will continue the reforms that put the protection of the environment in its rightful place. Federal Labor's key environment priorities are the protection and conservation of Australia's native plants, animals and ecosystems, and supporting Indigenous Australians, landholders and community groups to protect and manage the natural environment.",1
525,525,63320_201008_525,"In its first term, Federal Labor has built a strong foundation for our environment.",501,,,"Federal Labor's key environment priorities are the protection and conservation of Australia's native plants, animals and ecosystems, and supporting Indigenous Australians, landholders and community groups to protect and manage the natural environment. A particular priority is the protection of our ocean ecosystems, as Australia has the third largest marine estate of any nation.",1
526,526,63320_201008_526,"We've increased the area of land managed for conservation by 3.4 million hectares, created more than 600 Indigenous Ranger jobs, and taken legal action to stop whaling in the Southern Ocean.",501,,,"A particular priority is the protection of our ocean ecosystems, as Australia has the third largest marine estate of any nation. In its first term, Federal Labor has built a strong foundation for our environment.",7
527,527,63320_201008_527,Federal Labor recognises the importance of safeguarding our environment.,501,,,"In its first term, Federal Labor has built a strong foundation for our environment. We've increased the area of land managed for conservation by 3.4 million hectares, created more than 600 Indigenous Ranger jobs, and taken legal action to stop whaling in the Southern Ocean.",1
528,528,63320_201008_528,"We have made significant improvements to the Australian environment, both close to home in the places where most of us live, as well as in more remote natural landscapes.",501,,,"We've increased the area of land managed for conservation by 3.4 million hectares, created more than 600 Indigenous Ranger jobs, and taken legal action to stop whaling in the Southern Ocean. Federal Labor recognises the importance of safeguarding our environment.",1
529,529,63320_201008_529,"We've given the natural environment the focus it deserves, reoriented environment funding towards a whole of-landscape approach through Caring for our Country, and made transparent and accountable decisions using the best available science.",501,,,"Federal Labor recognises the importance of safeguarding our environment. We have made significant improvements to the Australian environment, both close to home in the places where most of us live, as well as in more remote natural landscapes.",1
530,530,63320_201008_530,Green Corridors Plan.,,,1.0,"We have made significant improvements to the Australian environment, both close to home in the places where most of us live, as well as in more remote natural landscapes. We've given the natural environment the focus it deserves, reoriented environment funding towards a whole of-landscape approach through Caring for our Country, and made transparent and accountable decisions using the best available science.",1
531,531,63320_201008_531,A re-elected Gillard Labor Government will invest $10 million to build the resilience of our environment to climate change.,501,,,"We've given the natural environment the focus it deserves, reoriented environment funding towards a whole of-landscape approach through Caring for our Country, and made transparent and accountable decisions using the best available science. Green Corridors Plan.",7
532,532,63320_201008_532,"Federal Labor will work with the 56 regional natural resource management groups to develop a National Green Corridors Plan to prepare our native plants and animals, as well as our agricultural landscapes for climate change.",501,,,Green Corridors Plan. A re-elected Gillard Labor Government will invest $10 million to build the resilience of our environment to climate change.,1
533,533,63320_201008_533,Federal Labor will convene a National Green Corridors advisory group to prepare a draft National Green Corridors Plan.,501,,,"A re-elected Gillard Labor Government will invest $10 million to build the resilience of our environment to climate change. Federal Labor will work with the 56 regional natural resource management groups to develop a National Green Corridors Plan to prepare our native plants and animals, as well as our agricultural landscapes for climate change.",1
534,534,63320_201008_534,"The advisory group will have broad expertise, including scientists, farmers, Indigenous groups and regional natural resource management groups.",501,,,"Federal Labor will work with the 56 regional natural resource management groups to develop a National Green Corridors Plan to prepare our native plants and animals, as well as our agricultural landscapes for climate change. Federal Labor will convene a National Green Corridors advisory group to prepare a draft National Green Corridors Plan.",1
535,535,63320_201008_535,"It will consider climate change impacts and adaptation, identifying critical linkages in the landscape to allow the migration of species.",501,,,"Federal Labor will convene a National Green Corridors advisory group to prepare a draft National Green Corridors Plan. The advisory group will have broad expertise, including scientists, farmers, Indigenous groups and regional natural resource management groups.",1
536,536,63320_201008_536,The National Green Corridors Plan will also aim to protect natural stores of carbon in native ecosystems to minimise our greenhouse gas emissions.,501,,,"The advisory group will have broad expertise, including scientists, farmers, Indigenous groups and regional natural resource management groups. It will consider climate change impacts and adaptation, identifying critical linkages in the landscape to allow the migration of species.",1
537,537,63320_201008_537,"Landcare groups, State and local government, Indigenous organisations, natural resource management groups, as well as farming, conservation and tourism organisations will have the opportunity to contribute to the National Green Corridors Plan.",501,,,"It will consider climate change impacts and adaptation, identifying critical linkages in the landscape to allow the migration of species. The National Green Corridors Plan will also aim to protect natural stores of carbon in native ecosystems to minimise our greenhouse gas emissions.",1
538,538,63320_201008_538,Creating jobs and skills in Australia.,,,1.0,"The National Green Corridors Plan will also aim to protect natural stores of carbon in native ecosystems to minimise our greenhouse gas emissions. Landcare groups, State and local government, Indigenous organisations, natural resource management groups, as well as farming, conservation and tourism organisations will have the opportunity to contribute to the National Green Corridors Plan.",1
539,539,63320_201008_539,Our Fair Work reforms have delivered fairness for working Australians and are providing certainty and greater simplicityñ but they're also about lifting national productivity.,410,,,"Landcare groups, State and local government, Indigenous organisations, natural resource management groups, as well as farming, conservation and tourism organisations will have the opportunity to contribute to the National Green Corridors Plan. Creating jobs and skills in Australia.",1
540,540,63320_201008_540,The overall benefit to the economy of having the entire private sector covered by one national workplace relations system had been estimated as $4.8 billion over the next decade.,410,,,Creating jobs and skills in Australia. Our Fair Work reforms have delivered fairness for working Australians and are providing certainty and greater simplicityñ but they're also about lifting national productivity.,7
541,541,63320_201008_541,Federal Labor has also delivered a single set of rules for Occupational Health and Safety across the nation.,303,,,Our Fair Work reforms have delivered fairness for working Australians and are providing certainty and greater simplicityñ but they're also about lifting national productivity. The overall benefit to the economy of having the entire private sector covered by one national workplace relations system had been estimated as $4.8 billion over the next decade.,1
542,542,63320_201008_542,"Replacing 10 different acts and hundreds of separate regulations, this major reform, which eluded five previous federal governments.",303,,,The overall benefit to the economy of having the entire private sector covered by one national workplace relations system had been estimated as $4.8 billion over the next decade. Federal Labor has also delivered a single set of rules for Occupational Health and Safety across the nation.,1
543,543,63320_201008_543,This significant reform represents a $4.8 billion benefit to the economy over the next decade by reducing compliance costs and boosting productivity.,410,,,"Federal Labor has also delivered a single set of rules for Occupational Health and Safety across the nation. Replacing 10 different acts and hundreds of separate regulations, this major reform, which eluded five previous federal governments.",7
544,544,63320_201008_544,"Our Consumer and Competition reforms are sweeping away inconsistent provisions in 17 Commonwealth, State and Territory laws and replacing them with a single national law.",303,,,"Replacing 10 different acts and hundreds of separate regulations, this major reform, which eluded five previous federal governments. This significant reform represents a $4.8 billion benefit to the economy over the next decade by reducing compliance costs and boosting productivity.",1
545,545,63320_201008_545,"One set of rules for all Australian businesses and consumers, not 17.",303,,,"This significant reform represents a $4.8 billion benefit to the economy over the next decade by reducing compliance costs and boosting productivity. Our Consumer and Competition reforms are sweeping away inconsistent provisions in 17 Commonwealth, State and Territory laws and replacing them with a single national law.",1
546,546,63320_201008_546,"This reform alone, could according to the Productivity Commission, generate up to an additional $4.5 billion for the Australian community.",410,,,"Our Consumer and Competition reforms are sweeping away inconsistent provisions in 17 Commonwealth, State and Territory laws and replacing them with a single national law. One set of rules for all Australian businesses and consumers, not 17.",7
547,547,63320_201008_547,"Federal Labor also reformed Employment Services to provide more flexible, intensive support to jobseekers, creating Job Services Australia to provide help people out of work with the skills and contacts necessary to get themselves job ready and get back into work.",701,,,"One set of rules for all Australian businesses and consumers, not 17. This reform alone, could according to the Productivity Commission, generate up to an additional $4.5 billion for the Australian community.",1
548,548,63320_201008_548,Federal Labor has introduced Australia's first national Paid Parental Leave scheme to support families and lift economic participation.,603,,,"This reform alone, could according to the Productivity Commission, generate up to an additional $4.5 billion for the Australian community. Federal Labor also reformed Employment Services to provide more flexible, intensive support to jobseekers, creating Job Services Australia to provide help people out of work with the skills and contacts necessary to get themselves job ready and get back into work.",1
549,549,63320_201008_549,It is available for eligible working parents of children born or adopted on or after 1 January 2011.,701,,,"Federal Labor also reformed Employment Services to provide more flexible, intensive support to jobseekers, creating Job Services Australia to provide help people out of work with the skills and contacts necessary to get themselves job ready and get back into work. Federal Labor has introduced Australia's first national Paid Parental Leave scheme to support families and lift economic participation.",1
550,550,63320_201008_550,It will provide payment at the National Minimum Wage - currently $570 a week before tax - is for up to 18 weeks and can be taken any time within the first year after birth.,701,,,Federal Labor has introduced Australia's first national Paid Parental Leave scheme to support families and lift economic participation. It is available for eligible working parents of children born or adopted on or after 1 January 2011.,7
551,551,63320_201008_551,Supporting families with teenagers.,,,1.0,It is available for eligible working parents of children born or adopted on or after 1 January 2011. It will provide payment at the National Minimum Wage - currently $570 a week before tax - is for up to 18 weeks and can be taken any time within the first year after birth.,1
552,552,63320_201008_552,"A re-elected Gillard Labor Government will increase family support by up to $4,000 a year per teenager, to help families meet the higher costs of older children and encourage more teenagers to stay at school.",603,,,It will provide payment at the National Minimum Wage - currently $570 a week before tax - is for up to 18 weeks and can be taken any time within the first year after birth. Supporting families with teenagers.,7
553,553,63320_201008_553,"Under significant reforms from 1 January 2012, Federal Labor will increase the maximum payment rate of Family Tax Benefit Part A (FTB-A) by more than $150 per fortnight for teenagers aged 16 to 18 years who are in school or an equivalent vocational qualification.",603,,,"Supporting families with teenagers. A re-elected Gillard Labor Government will increase family support by up to $4,000 a year per teenager, to help families meet the higher costs of older children and encourage more teenagers to stay at school.",7
554,554,63320_201008_554,These reforms will help families make ends meet and help with cost of living pressures.,603,,,"A re-elected Gillard Labor Government will increase family support by up to $4,000 a year per teenager, to help families meet the higher costs of older children and encourage more teenagers to stay at school. Under significant reforms from 1 January 2012, Federal Labor will increase the maximum payment rate of Family Tax Benefit Part A (FTB-A) by more than $150 per fortnight for teenagers aged 16 to 18 years who are in school or an equivalent vocational qualification.",1
555,555,63320_201008_555,"There are around 650,000 teenagers turning 16 over the next five years whose families will benefit.",603,,,"Under significant reforms from 1 January 2012, Federal Labor will increase the maximum payment rate of Family Tax Benefit Part A (FTB-A) by more than $150 per fortnight for teenagers aged 16 to 18 years who are in school or an equivalent vocational qualification. These reforms will help families make ends meet and help with cost of living pressures.",7
556,556,63320_201008_556,Why are we doing this?,,,1.0,"These reforms will help families make ends meet and help with cost of living pressures. There are around 650,000 teenagers turning 16 over the next five years whose families will benefit.",1
557,557,63320_201008_557,The Gillard Labor Government recognises that families with older teenage children can face higher costs.,603,,,"There are around 650,000 teenagers turning 16 over the next five years whose families will benefit. Why are we doing this?",1
558,558,63320_201008_558,"The cost of groceries, clothes and family activities can all increase as children grow.",603,,,Why are we doing this? The Gillard Labor Government recognises that families with older teenage children can face higher costs.,1
559,559,63320_201008_559,"But under the existing system, the maximum rate of FTB-A drops from $208 per fortnight to $51 per fortnight when a child turns 16.",603,,,"The Gillard Labor Government recognises that families with older teenage children can face higher costs. The cost of groceries, clothes and family activities can all increase as children grow.",7
